order.occ,cast,cast.date,MX512.Lat,MX512.Lon,max.depth,class
1,1607RL001,2016-06-28 23:37:18,32.8666666666667,-117.845333333333,-350,CC
2,1607RL002,2016-06-29 15:15:09,33.9346666666667,-120.522666666667,-352,CC
3,1607RL003,2016-06-29 23:36:37,34.909,-120.813666666667,-101,Spicy
4,1607RL004,2016-06-30 15:05:55,36.6323333333333,-122.003833333333,-89,Spicy
5,1607RL005,2016-06-30 17:39:46,36.929,-122.261666666667,-80,Spicy
6,1607RL006,2016-07-03 21:08:49,46.239,-124.918,-351,CC
7,1607RL007,2016-07-04 01:58:12,46.9295,-124.965166666667,-352,CC
8,1607RL008,2016-07-06 05:09:47,50.7605,-129.409833333333,-350,Plume
11,1607RL011,2016-07-07 05:29:59,49.7605,-127.8975,-352,Plume
12,1607RL012,2016-07-08 09:30:14,49.4245,-126.841333333333,-90,Plume
17,1607RL017,2016-07-09 05:03:27,49.0931666666667,-126.228,-50,CC
20,1607RL020,2016-07-10 04:09:19,49.2568333333333,-126.583333333333,-91,CC
23,1607RL023,2016-07-11 04:31:38,48.5938333333333,-126.081333333333,-130,Plume
27,1607RL027,2016-07-13 11:18:33,48.262,-124.833166666667,-26,CC
28,1607RL028,2016-07-14 04:27:22,47.7575,-124.9435,-100,CC
32,1607RL032,2016-07-15 03:31:54,47.9238333333333,-124.879333333333,-60,Plume
34,1607RL034,2016-07-16 04:05:24,47.425,-124.844333333333,-351,CC
37,1607RL037,2016-07-17 04:05:59,47.258,-125.2085,-350,Plume
48,1607RL048,2016-07-21 03:52:46,45.588,-124.378166666667,-72,Plume
58,1607RL058,2016-07-29 03:54:41,44.5955,-124.140166666667,-353,CC
64,1607RL064,2016-07-31 03:53:59,43.9258333333333,-124.284833333333,-151,CC
68,1607RL068,2016-08-01 02:51:45,43.2576666666667,-125.2275,-351,Plume
81,1607RL081,2016-08-06 04:25:22,40.093,-124.276333333333,-352,CC
84,1607RL084,2016-08-07 05:33:05,39.9268333333333,-124.648333333333,-101,Plume
85,1607RL085,2016-08-07 05:33:05,39.9268333333333,-124.648333333333,-60,Spicy
89,1607RL089,2016-08-21 03:01:49,38.7621666666667,-123.669166666667,-75,Spicy
93,1607RL093,2016-08-22 08:22:33,38.4885,-123.809666666667,-350,CC
95,1607RL095,2016-08-23 03:40:50,37.8208333333333,-123.3025,-351,Spicy
99,1607RL099,2016-08-24 02:49:46,37.4296666666667,-122.626666666667,-350,CC
103,1607RL103,2016-08-25 03:53:46,36.8953333333333,-122.128666666667,-351,Plume
107,1607RL107,2016-08-26 04:29:51,36.5908333333333,-122.609833333333,-351,CC
111,1607RL111,2016-08-27 02:40:09,36.1685,-121.910833333333,-170,Plume
115,1607RL115,2016-08-28 02:51:27,35.5906666666667,-121.7155,-347,Plume
119,1607RL119,2016-08-29 02:45:10,35.2638333333333,-121.759,-349,Plume
123,1607RL123,2016-08-30 04:31:00,35.0316666666667,-121.231,-351,CC
128,1607RL128,2016-09-01 04:59:58,34.4051666666667,-120.313,-349,Plume
131,1607RL131,2016-09-08 05:17:57,34.1541666666667,-120.106333333333,-350,CC
132,1607RL132,2016-09-08 05:17:57,34.1541666666667,-120.106333333333,-350,CC
134,1607RL134,2016-09-09 01:54:16,33.925,-119.812833333333,-350,CC
138,1607RL138,2016-09-10 02:03:34,34.0051666666667,-119.282,-350,CC
144,1607RL144,2016-09-11 05:20:22,33.6546666666667,-119.556166666667,-350,CC
